model_name,config,channels,bottlenecks,bit_width,auto_fifo_strategy,target_fps,synth_clk_period_ns,fpga_part,output_dir,build_start,build_end,build_duration_hours,LUT,LUT_pct,LUTRAM,FF,DSP,DSP_pct,BRAM,BRAM_18K,BRAM_18K_pct,BRAM_36K,URAM,Carry,WNS_ns,fmax_mhz,estimated_throughput_fps,latency_ms,rtlsim_cycles,rtlsim_inputs,rtlsim_outputs,vivado_version,status,notes
quantEnet_original_int8,original_paper_baseline,"16,64,128,64,16","4,8,8,2,1",8,,,5.0,xczu7ev-ffvc1156-2-e,hardware/outputs/quantEnet_original_int8_unfolded_report_20260817_193906,2026-08-17 19:39:06,2026-08-17 19:47:57,0.1476,487708.0,211.68,,,87.0,5.03,,219.0,35.1,,0.0,,,,0.3725290298461914,13485.36563,,,,,estimate_only_fully_unfolded,"PE=SIMD=1 fully unfolded analytical estimate (no synthesis/rtlsim); LUT-bound, does not fit (211.7% of 230400 LUT budget); DSP 5.0% of 1728; BRAM_18K 35.1% of 624"
quantEnet_s19_double_mid_int8,s19_double_mid_8way_partitioned_ooc_synth_TOTAL,"4,16,32,16,4","4,12,12,2,1",8,largefifo_rtlsim,250.0,10.0,xczu7ev-ffvc1156-2-e,finn/notebooks/enet/finn_deployment_outputs/stitched_ip_partitioned8way_quantEnet_s19_double_mid_int8_largefifo_rtlsim_20260820_101224/per_partition_reports,2026-08-20 10:12:24,,,830689.0,360.54,20888.0,660326.0,0.0,0.0,,696.0,145.19,105.0,0.0,,,122.0,,,,,,2022.2,does_not_fit_sum_of_8_independent_partitions,"SUM of 8 real Vivado OOC-synth + rtlsim runs, one per StreamingDataflowPartition, each using FINN's stock (unmodified) SynthOutOfContext/rtlsim steps directly on that partition's own already-valid stitched-IP (no combined/merged bitstream was built -- the combine step had unresolved bugs, see PARTITIONED_BUILD_LOG.md). CLB LUT (LUT+LUTRAM)=851577=369.7% of 230400 -- does NOT fit. FF=660326=143.3% of 460800. BRAM_18K-equivalent(18K_count+2*36K_count)=906=145.2% of 624. DSP=0/1728 (resType left at FINN default 'auto', which chose LUT-based MAC at this fold point -- see quantEnet_s19_single_block_int8 rows for a forced resType=dsp probe). fmax_mhz here is the MIN across the 8 partitions (range 122.0-170.1 MHz); each partition is an independently clocked/synthesized kernel, not one chained design. Per-partition breakdown in the 8 rows below."
quantEnet_s19_double_mid_int8,s19_double_mid_partition_0_ooc_synth,,,8,largefifo_rtlsim,250.0,10.0,xczu7ev-ffvc1156-2-e,finn/notebooks/enet/finn_deployment_outputs/stitched_ip_partitioned8way_quantEnet_s19_double_mid_int8_largefifo_rtlsim_20260820_101224/per_partition_reports/GenericPartition_0/report,2026-08-20 10:12:24,,,3463.0,1.5,96.0,889.0,0.0,0.0,,3.0,0.48,0.0,0.0,,,170.1,,,,,,2022.2,real_ooc_synth_standalone_partition,"Smallest of the 8 partitions. Independent stock FINN SynthOutOfContext + rtlsim on this partition's own stitched IP (reused from the earlier step_build_all_partitions run, no combine/merge step)."
quantEnet_s19_double_mid_int8,s19_double_mid_partition_1_ooc_synth,,,8,largefifo_rtlsim,250.0,10.0,xczu7ev-ffvc1156-2-e,finn/notebooks/enet/finn_deployment_outputs/stitched_ip_partitioned8way_quantEnet_s19_double_mid_int8_largefifo_rtlsim_20260820_101224/per_partition_reports/GenericPartition_1/report,2026-08-20 10:12:24,,,74105.0,32.16,1846.0,46400.0,0.0,0.0,,94.0,16.67,5.0,0.0,,,146.8,,,,,,2022.2,real_ooc_synth_standalone_partition,"Independent stock FINN SynthOutOfContext + rtlsim on this partition's own stitched IP (reused from the earlier step_build_all_partitions run, no combine/merge step)."
quantEnet_s19_double_mid_int8,s19_double_mid_partition_2_ooc_synth,,,8,largefifo_rtlsim,250.0,10.0,xczu7ev-ffvc1156-2-e,finn/notebooks/enet/finn_deployment_outputs/stitched_ip_partitioned8way_quantEnet_s19_double_mid_int8_largefifo_rtlsim_20260820_101224/per_partition_reports/GenericPartition_2/report,2026-08-20 10:12:24,,,179084.0,77.73,5043.0,146866.0,0.0,0.0,,145.0,30.29,22.0,0.0,,,127.6,977.2,,,,,2022.2,real_ooc_synth_standalone_partition,"Largest of the 8 partitions by LUT. Independent stock FINN SynthOutOfContext + rtlsim on this partition's own stitched IP (reused from the earlier step_build_all_partitions run, no combine/merge step)."
quantEnet_s19_double_mid_int8,s19_double_mid_partition_3_ooc_synth,,,8,largefifo_rtlsim,250.0,10.0,xczu7ev-ffvc1156-2-e,finn/notebooks/enet/finn_deployment_outputs/stitched_ip_partitioned8way_quantEnet_s19_double_mid_int8_largefifo_rtlsim_20260820_101224/per_partition_reports/GenericPartition_3/report,2026-08-20 10:12:24,,,174473.0,75.73,4258.0,142586.0,0.0,0.0,,126.0,27.88,24.0,0.0,,,125.7,830.6,,,,,2022.2,real_ooc_synth_standalone_partition,"Independent stock FINN SynthOutOfContext + rtlsim on this partition's own stitched IP (reused from the earlier step_build_all_partitions run, no combine/merge step)."
quantEnet_s19_double_mid_int8,s19_double_mid_partition_4_ooc_synth,,,8,largefifo_rtlsim,250.0,10.0,xczu7ev-ffvc1156-2-e,finn/notebooks/enet/finn_deployment_outputs/stitched_ip_partitioned8way_quantEnet_s19_double_mid_int8_largefifo_rtlsim_20260820_101224/per_partition_reports/GenericPartition_4/report,2026-08-20 10:12:24,,,169769.0,73.69,3868.0,141784.0,0.0,0.0,,139.0,30.29,25.0,0.0,,,128.9,853.8,,,,,2022.2,real_ooc_synth_standalone_partition,"Independent stock FINN SynthOutOfContext + rtlsim on this partition's own stitched IP (reused from the earlier step_build_all_partitions run, no combine/merge step)."
quantEnet_s19_double_mid_int8,s19_double_mid_partition_5_ooc_synth,,,8,largefifo_rtlsim,250.0,10.0,xczu7ev-ffvc1156-2-e,finn/notebooks/enet/finn_deployment_outputs/stitched_ip_partitioned8way_quantEnet_s19_double_mid_int8_largefifo_rtlsim_20260820_101224/per_partition_reports/GenericPartition_5/report,2026-08-20 10:12:24,,,160103.0,69.49,3718.0,140793.0,0.0,0.0,,130.0,28.53,24.0,0.0,,,135.8,854.1,,,,,2022.2,real_ooc_synth_standalone_partition,"Independent stock FINN SynthOutOfContext + rtlsim on this partition's own stitched IP (reused from the earlier step_build_all_partitions run, no combine/merge step)."
quantEnet_s19_double_mid_int8,s19_double_mid_partition_6_ooc_synth,,,8,largefifo_rtlsim,250.0,10.0,xczu7ev-ffvc1156-2-e,finn/notebooks/enet/finn_deployment_outputs/stitched_ip_partitioned8way_quantEnet_s19_double_mid_int8_largefifo_rtlsim_20260820_101224/per_partition_reports/GenericPartition_6/report,2026-08-20 10:12:24,,,48191.0,20.92,1018.0,31879.0,0.0,0.0,,45.0,8.49,4.0,0.0,,,140.5,372.6,,,,,2022.2,real_ooc_synth_standalone_partition,"Independent stock FINN SynthOutOfContext + rtlsim on this partition's own stitched IP (reused from the earlier step_build_all_partitions run, no combine/merge step)."
quantEnet_s19_double_mid_int8,s19_double_mid_partition_7_ooc_synth,,,8,largefifo_rtlsim,250.0,10.0,xczu7ev-ffvc1156-2-e,finn/notebooks/enet/finn_deployment_outputs/stitched_ip_partitioned8way_quantEnet_s19_double_mid_int8_largefifo_rtlsim_20260820_101224/per_partition_reports/GenericPartition_7/report,2026-08-20 10:12:24,,,21501.0,9.33,1041.0,9129.0,0.0,0.0,,14.0,2.56,1.0,0.0,,,122.0,294.1,,,,,2022.2,real_ooc_synth_standalone_partition,"Smallest by FF/BRAM among the non-trivial partitions. Independent stock FINN SynthOutOfContext + rtlsim on this partition's own stitched IP (reused from the earlier step_build_all_partitions run, no combine/merge step)."
